18
958 1763
235 317 311
694 287 182
185 731 93
157 209 173
608 322 467
918 248 789
904 757 68
686 489 367
603 9 349
738 734 829
658 856 555
506 845 331
382 142 67
143 541 68
670 846 151
612 902 946
586 304 300
147 887 898
21 776 556
819 431 55
867 205 534
151 913 891
495 316 72
471 61 706
667 520 805
568 818 371
445 463 15
436 47 16
258 852 840
88 784 646
945 268 353
435 728 599
513 51 460
172 808 83
507 676 290
458 131 231
867 161 521
89 118 745
454 743 459
736 783 112
859 2 369
921 77 653
190 824 858
894 267 878
691 728 139
909 369 912
230 822 583
103 687 220
202 898 759
174 225 757
839 518 564
732 475 971
230 908 960
506 674 473
490 671 70
616 715 937
262 453 692
355 368 481
292 361 794
567 436 460
488 334 963
718 503 933
171 833 575
45 604 381
468 39 665
351 320 739
358 757 93
432 396 597
938 559 428
756 924 821
242 578 4
658 559 459
698 892 638
175 205 356
266 888 485
533 353 776
294 354 932
287 855 828
861 822 866
86 794 912
444 922 24
578 740 955
632 186 801
43 77 839
217 154 920
677 805 381
855 912 175
575 511 995
490 746 474
369 688 997
304 624 359
259 20 969
402 287 955
609 113 417
619 925 812
558 580 430
812 401 549
19 691 507
9 683 886
433 331 492
485 591 561
828 363 859
477 409 104
717 315 417
385 541 763
205 362 593
329 152 587
669 574 1000
9 90 935
415 880 655
443 203 600
8 829 220
451 831 955
863 822 176
195 218 663
796 196 741
216 307 386
66 762 80
138 206 840
554 305 368
719 950 713
88 565 582
483 114 405
649 5 339
517 133 872
447 516 375
447 518 936
588 694 952
713 158 164
44 394 373
97 187 750
398 243 877
700 721 190
434 280 82
426 921 601
570 313 610
323 510 911
249 477 773
873 294 109
644 921 534
734 342 35
168 54 107
840 888 520
485 657 408
731 305 789
67 731 336
201 497 884
450 607 618
410 675 972
393 849 919
406 770 904
453 183 587
440 678 503
213 96 79
71 196 88
271 893 22
27 410 399
921 200 705
846 789 148
227 668 348
764 200 676
580 688 157
580 595 522
721 500 557
509 319 610
540 414 792
528 120 378
806 698 601
936 393 744
571 687 648
573 401 698
431 408 977
139 643 97
232 156 374
803 75 18
459 131 305
213 829 587
90 138 962
506 777 57
530 809 106
837 276 190
257 777 46
537 19 977
741 437 734
277 98 178
348 450 740
626 59 836
724 611 154
514 531 420
328 709 681
549 339 990
629 206 862
687 671 206
522 120 296
525 132 208
956 70 378
750 320 561
51 384 985
367 855 985
327 222 189
156 901 613
261 890 834
372 325 833
751 917 55
429 512 248
333 657 976
882 920 337
163 512 891
3 25 80
504 196 505
205 298 66
77 3 406
360 458 573
824 912 815
183 272 779
165 208 268
340 487 154
546 893 833
387 548 73
460 408 97
841 298 466
818 479 929
458 305 305
186 161 864
905 549 161
72 871 367
735 796 990
291 384 258
134 215 741
711 677 729
9 418 803
500 237 880
390 459 415
667 762 500
669 467 152
479 225 411
566 508 839
686 164 594
306 568 822
443 185 370
278 662 847
893 358 831
655 897 928
697 406 220
265 701 690
460 735 116
237 13 814
948 455 731
435 125 145
524 620 894
638 123 101
780 64 457
75 333 163
824 903 888
694 114 84
746 362 307
675 611 849
433 360 69
25 670 466
835 510 235
837 632 82
670 676 108
632 25 32
450 541 733
103 448 486
69 580 707
118 767 303
679 371 384
767 393 584
735 492 569
443 313 278
450 89 131
438 230 520
816 253 530
42 398 370
510 273 209
927 576 12
137 471 652
454 911 260
229 749 561
513 693 610
850 895 535
313 408 854
809 787 661
854 61 151
690 820 337
398 692 370
351 168 475
442 304 625
586 409 669
195 250 926
456 127 739
920 318 433
95 166 333
75 946 188
487 545 558
457 646 759
915 893 93
43 536 2
441 436 623
601 240 853
806 625 70
610 160 430
671 255 662
386 674 683
813 301 763
300 879 319
346 609 920
320 896 594
511 435 959
325 124 135
817 276 423
29 833 136
702 518 144
650 319 87
938 581 644
938 327 175
150 584 299
463 529 722
672 403 252
341 837 629
510 754 792
191 32 362
279 732 147
515 199 111
655 891 268
650 348 182
675 848 315
576 393 476
475 630 511
581 949 825
177 950 483
209 831 513
18 658 203
268 446 36
2 59 583
724 954 562
691 103 880
779 391 368
464 636 556
13 894 970
676 351 530
586 312 441
797 355 278
237 515 815
803 178 961
238 661 361
227 799 676
805 916 81
137 705 176
944 422 393
296 870 818
361 356 621
422 477 244
619 820 283
473 797 308
18 761 684
720 834 863
460 300 242
929 190 598
701 839 239
295 554 585
541 84 533
574 35 384
200 39 721
495 55 348
799 393 864
934 806 917
819 206 801
453 250 348
174 455 168
672 302 430
953 361 420
586 556 389
415 722 373
355 422 782
185 717 697
788 611 214
570 715 275
678 198 775
692 24 890
272 319 731
230 724 874
70 398 9
215 739 709
473 896 96
605 578 514
205 18 472
399 630 400
238 282 760
603 554 319
124 373 667
852 595 652
478 32 931
787 523 928
646 905 924
938 159 528
212 377 232
906 228 538
133 422 14
910 215 801
775 518 310
435 662 736
476 401 135
726 537 507
66 816 462
718 440 659
194 878 208
42 700 431
616 632 665
814 37 467
625 106 737
826 245 13
35 834 950
1 158 131
798 399 183
449 49 854
3 129 937
24 381 642
864 516 957
219 582 618
790 749 605
772 11 23
512 540 51
804 219 943
374 486 342
150 339 44
923 377 118
104 948 233
194 857 718
668 919 760
732 636 415
345 635 827
112 319 772
937 77 522
515 564 558
707 902 917
603 595 557
738 735 59
513 132 144
343 745 892
749 485 441
210 712 407
882 782 150
206 846 751
17 343 890
473 11 578
762 118 883
633 624 426
545 718 121
197 731 923
813 568 193
693 950 449
148 425 804
546 765 215
523 163 88
637 925 549
496 877 68
939 405 839
137 308 599
388 571 473
906 422 678
296 107 359
292 14 219
898 383 768
74 46 930
509 390 939
177 324 197
113 229 143
359 77 769
661 845 693
223 345 499
58 621 358
707 759 762
100 74 697
805 315 697
696 132 73
764 105 912
415 251 595
537 743 888
946 587 326
580 232 50
364 520 275
783 790 5
173 494 958
603 504 104
241 3 682
427 610 759
892 726 370
175 829 213
280 539 330
20 126 744
422 27 543
531 765 405
556 550 965
535 432 399
210 420 595
144 663 5
471 845 782
693 829 424
433 795 507
818 615 675
161 79 681
142 624 855
722 288 822
737 827 564
956 909 937
269 904 246
247 106 849
472 198 118
803 273 214
372 887 252
397 358 256
742 702 492
255 357 836
619 373 210
595 36 3
404 535 787
877 286 319
63 105 461
737 602 661
225 787 534
400 418 353
686 419 623
711 130 56
444 505 228
874 374 499
607 143 195
578 732 960
397 376 587
323 741 609
436 467 694
50 386 972
430 126 336
600 411 617
51 505 7
825 94 528
555 518 479
27 568 143
186 876 337
425 452 836
660 123 415
478 470 859
773 881 636
627 291 534
178 324 666
580 912 245
801 951 118
757 743 607
930 855 594
171 205 466
588 298 563
478 797 599
486 927 519
599 307 943
550 853 896
173 721 190
576 730 507
416 612 745
868 560 301
168 698 693
313 717 724
891 289 353
702 68 183
593 436 41
939 598 507
915 66 819
843 343 671
858 664 275
234 863 429
899 164 638
289 786 96
308 679 922
872 409 643
395 768 72
238 905 397
26 934 626
585 222 389
828 804 851
942 862 881
235 539 735
629 285 679
303 562 801
453 910 637
581 399 682
400 339 378
478 631 168
781 20 513
834 686 196
847 745 471
935 933 733
636 273 541
22 308 421
875 923 184
180 941 376
317 54 31
908 90 190
843 392 354
446 326 636
161 805 541
162 734 337
498 953 898
344 457 371
481 23 743
665 576 40
215 136 901
73 595 514
701 716 86
415 398 47
554 291 217
328 388 823
129 580 220
303 275 557
300 893 271
115 366 426
833 883 640
818 672 356
832 354 35
911 563 692
287 86 878
160 652 373
614 549 389
13 795 209
171 194 482
465 876 893
79 657 906
13 304 809
505 71 29
621 697 788
89 506 823
494 223 712
88 717 686
335 814 262
732 347 343
274 788 465
434 798 299
935 201 355
593 74 796
146 799 608
820 907 178
525 856 533
7 603 371
127 871 404
623 665 882
114 583 414
819 598 953
584 691 585
456 535 788
770 807 166
494 74 963
373 591 902
678 116 720
198 214 917
771 538 91
292 48 760
860 527 39
18 96 577
712 753 961
743 77 503
69 55 171
361 527 348
845 551 315
701 249 990
455 382 692
395 575 273
881 955 992
723 832 790
368 947 792
155 835 570
324 952 237
743 307 243
927 664 537
3 216 414
297 178 109
268 393 335
271 119 675
61 764 891
600 385 57
814 518 290
893 584 894
925 653 3
376 720 22
497 370 335
229 560 312
909 403 808
684 833 113
424 886 811
431 791 901
841 526 759
42 177 465
61 914 84
624 816 362
937 389 969
697 348 852
742 250 914
20 430 174
252 243 160
12 833 649
821 238 971
273 189 269
3 756 979
400 390 152
802 862 782
368 129 286
370 249 850
272 83 87
260 654 807
493 487 281
656 710 997
826 710 880
184 166 856
209 760 64
249 199 873
220 822 136
196 347 598
88 64 40
274 283 106
734 57 227
833 931 653
31 696 369
757 322 371
301 811 646
700 236 850
937 528 107
675 453 480
796 926 275
164 350 912
276 886 289
640 287 580
325 113 306
282 73 659
420 334 608
632 381 715
363 383 134
482 280 510
813 75 180
638 91 726
267 380 41
574 913 240
345 515 213
704 159 340
782 958 261
579 375 979
297 482 651
298 773 261
155 819 51
487 412 504
137 419 786
930 904 750
49 906 18
804 951 636
924 34 159
682 656 978
444 111 640
304 135 96
175 333 822
315 504 591
145 682 445
490 620 496
476 66 76
135 567 655
298 364 932
227 674 639
119 614 954
9 568 806
491 585 396
268 179 980
552 350 219
779 856 845
699 475 219
325 108 627
554 485 389
459 215 785
9 869 986
405 839 409
37 95 62
675 129 588
850 333 964
229 643 442
826 210 714
187 785 216
212 288 776
779 99 190
382 913 70
486 924 324
595 401 311
273 532 219
120 629 230
877 562 69
131 168 459
936 532 393
604 139 120
236 175 22
95 17 829
934 542 821
84 364 707
616 904 561
589 657 564
706 711 349
314 527 3
702 338 453
518 279 445
689 512 712
373 842 147
894 713 127
234 561 26
478 596 475
440 121 912
289 158 194
274 220 552
138 238 887
67 525 660
498 474 130
478 939 832
279 255 343
908 848 827
228 218 170
55 557 225
326 302 927
341 768 107
626 419 871
242 101 627
813 325 665
95 852 956
285 685 800
936 586 202
566 704 20
326 143 973
178 116 174
292 488 407
916 611 540
769 565 716
133 166 399
563 336 520
755 284 846
669 679 340
511 831 710
768 75 740
422 863 304
713 485 374
788 579 14
246 190 588
297 269 176
685 807 89
906 485 855
939 119 295
615 589 187
441 780 678
225 229 219
694 151 981
142 102 230
854 924 148
656 462 609
623 681 444
211 807 571
302 572 519
833 759 213
814 119 863
507 246 236
674 134 59
343 256 219
498 247 657
422 495 580
864 587 760
949 569 332
655 161 715
107 120 425
730 272 144
885 418 888
73 455 985
137 381 194
828 23 320
854 667 385
753 773 194
220 618 695
763 388 76
340 107 281
66 285 796
531 113 284
953 189 997
153 282 350
463 134 271
79 567 790
68 955 785
201 543 486
42 928 398
457 620 496
667 648 312
256 4 447
21 539 985
135 662 429
853 614 871
100 527 229
250 581 28
912 669 1000
383 230 9
54 223 134
848 109 372
212 35 12
784 868 856
488 272 569
884 415 600
525 72 902
552 725 419
411 308 191
766 335 518
404 727 960
305 891 63
22 555 988
340 227 615
821 517 761
782 730 668
206 337 450
304 100 5
915 10 775
786 586 51
84 366 606
497 511 959
900 19 553
501 798 211
351 225 938
590 417 957
701 670 139
393 61 223
604 875 90
532 646 818
931 64 849
645 769 172
724 359 820
675 901 587
557 704 69
610 904 901
470 33 381
805 127 841
16 532 910
759 130 196
198 201 811
653 896 224
420 109 603
177 397 125
736 659 236
392 702 778
283 533 381
140 36 366
66 239 707
234 796 13
307 4 543
488 701 706
177 91 547
291 741 953
823 203 968
772 472 895
241 801 45
258 68 275
35 397 740
472 671 782
2 415 281
553 319 302
523 258 297
349 279 163
209 447 427
457 937 795
690 624 327
455 128 474
874 704 63
590 34 376
518 342 990
140 582 501
716 913 783
726 535 429
799 101 915
491 757 790
517 372 566
417 890 667
789 876 390
332 338 503
776 847 468
616 226 585
951 287 69
548 807 26
691 597 324
600 380 776
110 397 930
349 804 642
186 397 181
258 132 813
87 835 72
354 177 877
29 649 271
697 43 575
132 463 789
129 406 204
724 675 621
814 611 839
463 815 764
293 918 855
212 172 990
177 16 578
389 460 21
467 827 329
896 152 900
599 684 25
657 741 154
613 95 697
378 99 497
768 387 425
756 8 995
206 530 11
436 130 530
8 303 443
682 341 67
140 81 120
290 254 342
913 66 703
409 799 723
794 902 923
125 307 960
300 866 531
805 226 680
379 841 212
951 144 539
556 459 122
735 797 303
455 4 174
741 323 894
525 513 783
250 365 292
894 205 774
570 328 198
303 196 894
932 773 435
532 862 803
316 455 252
147 675 612
821 384 358
614 65 52
932 779 891
585 444 47
209 653 179
621 928 202
711 438 179
114 636 717
885 867 160
539 817 269
203 793 832
742 147 926
345 786 345
183 669 791
866 944 96
215 580 55
382 445 856
436 390 492
803 550 769
728 875 996
586 828 340
402 405 666
659 85 688
371 411 49
942 292 787
625 202 903
844 891 396
462 35 235
768 835 848
332 524 872
326 152 820
376 548 828
355 70 504
628 121 868
449 392 525
181 184 595
559 202 302
349 440 234
934 479 75
923 173 599
262 438 182
193 266 560
154 454 491
628 799 96
652 905 35
894 575 38
677 656 731
196 602 774
789 52 203
98 363 3
18 359 518
722 698 288
134 725 597
267 957 838
411 929 901
26 349 423
818 382 997
574 296 631
769 310 276
839 942 493
404 445 598
863 624 407
286 604 327
437 198 61
752 101 183
482 204 977
117 599 323
438 288 960
710 689 43
567 164 590
413 813 863
215 236 460
472 246 382
691 98 244
113 147 707
474 754 353
191 84 238
751 106 817
101 821 135
133 165 972
335 193 90
423 718 853
298 46 858
527 32 982
817 78 148
94 38 772
219 753 444
137 527 569
584 144 239
758 164 236
655 753 137
701 243 278
99 402 7
117 410 534
679 746 834
544 573 991
659 309 550
14 231 359
824 684 977
850 572 112
809 291 25
905 374 83
842 786 346
851 398 709
487 853 734
694 539 384
152 657 535
335 789 593
99 607 607
173 497 516
484 722 553
436 653 924
904 931 290
246 149 57
2 784 894
500 85 170
303 865 572
811 130 417
868 488 492
557 337 35
838 560 164
618 367 794
476 209 197
132 580 742
785 478 51
238 885 184
443 324 835
708 547 400
605 668 143
104 282 606
355 406 549
54 621 747
99 542 277
331 709 140
883 904 594
67 29 698
656 810 181
609 329 904
573 692 538
276 786 521
634 187 757
210 176 235
247 395 231
87 206 921
333 245 997
494 67 110
562 703 223
610 918 403
602 880 642
466 931 655
268 456 356
433 441 778
340 774 685
468 244 587
134 377 460
36 784 522
889 37 355
363 416 343
431 793 902
88 881 983
414 521 4
100 157 829
435 563 398
641 508 498
548 623 872
621 381 161
375 576 411
416 16 18
368 460 49
213 132 129
554 811 38
369 9 1000
667 301 883
100 896 589
447 869 149
103 564 515
736 400 19
246 617 523
402 139 438
381 378 135
181 15 543
671 308 637
226 162 693
585 184 341
8 219 828
591 903 748
304 12 289
115 344 342
474 444 769
752 482 786
660 635 711
156 337 610
111 635 181
783 625 129
66 334 524
811 52 826
584 89 961
447 808 956
370 280 146
821 108 356
11 738 102
709 221 358
141 338 654
97 37 253
261 535 88
228 74 401
424 312 227
276 733 234
482 827 99
558 193 396
924 654 99
882 544 199
274 95 196
870 217 834
134 732 555
229 890 191
297 272 803
764 223 501
539 776 942
141 126 75
343 450 158
519 841 404
865 925 984
56 387 465
726 504 887
8 432 591
721 163 360
127 502 158
723 797 811
381 597 917
775 368 61
948 274 964
60 876 521
69 218 65
914 341 654
230 623 756
342 819 11
198 672 59
201 218 369
478 269 156
141 690 761
823 171 166
785 373 315
617 503 502
881 554 985
504 334 378
264 556 786
432 434 465
492 441 514
429 787 380
62 702 501
492 923 302
902 313 564
684 658 233
124 613 872
394 312 616
419 463 750
573 409 628
790 882 789
650 705 149
136 189 22
780 128 840
73 325 852
538 525 877
445 873 340
291 74 328
714 647 501
588 829 427
533 309 758
717 267 638
213 819 662
290 75 46
822 712 746
30 18 989
950 231 605
303 536 71
881 308 956
953 213 27
289 392 350
634 153 781
951 419 21
272 172 899
752 623 547
46 565 570
244 528 784
768 428 408
505 297 480
400 401 392
653 183 457
536 244 118
621 160 675
219 732 536
844 582 944
381 879 674
24 819 839
162 461 206
676 751 203
904 78 541
506 375 730
553 537 591
492 617 480
630 306 450
265 615 383
654 708 671
209 643 389
103 312 860
762 697 288
220 221 934
861 941 466
360 11 181
502 720 740
920 279 413
2 875 936
595 100 903
585 161 448
463 714 657
450 39 549
503 807 562
570 340 293
884 329 487
83 956 709
721 611 763
58 371 483
882 139 39
947 653 332
762 646 353
500 165 803
757 945 804
140 408 171
904 564 38
816 511 373
73 188 955
799 754 755
70 655 733
782 265 10
60 762 442
250 932 701
911 516 330
521 48 707
563 38 329
226 557 571
222 634 887
703 742 821
788 453 575
428 934 235
498 79 40
367 939 336
940 544 211
398 953 397
893 231 779
352 509 414
250 440 572
446 626 176
582 383 441
584 574 522
42 400 624
62 422 381
741 191 767
571 681 217
569 39 840
202 386 643
257 565 716
503 299 506
204 781 327
23 104 711
779 219 663
499 406 531
220 92 96
444 943 388
225 199 460
235 153 731
678 601 540
394 126 687
178 146 793
203 714 156
202 374 780
761 71 172
136 869 36
216 732 111
789 16 460
623 300 261
525 340 687
433 889 635
758 307 534
819 173 855
473 24 856
127 323 64
126 253 895
954 563 879
575 206 154
44 130 292
832 246 666
294 302 946
125 132 625
141 632 369
606 320 351
935 649 207
260 336 64
277 467 170
102 468 211
579 908 287
135 405 881
915 117 36
952 708 710
143 738 702
924 321 689
103 915 106
720 346 450
594 525 986
876 295 808
176 492 733
949 221 755
860 531 497
787 13 64
501 310 947
581 264 108
159 433 710
943 11 804
420 197 352
709 245 692
770 890 411
863 469 992
541 489 673
633 857 336
797 925 98
373 803 73
934 384 929
382 225 396
956 226 860
207 341 596
757 407 733
871 126 817
433 470 501
678 807 738
725 375 12
181 350 784
924 565 79
482 912 371
596 711 327
410 513 338
630 312 285
575 649 801
347 64 791
862 115 486
401 559 596
751 327 685
631 108 406
584 80 858
546 348 781
613 111 599
168 732 383
696 36 182
624 949 246
80 284 38
430 188 511
279 285 828
812 485 702
363 881 691
587 292 155
484 135 41
836 618 952
598 590 208
340 357 120
619 327 708
585 404 321
406 534 535
686 284 222
193 955 359
360 862 955
942 143 232
735 936 291
473 489 488
881 558 155
819 515 860
375 435 588
331 754 625
419 148 338
555 534 554
135 230 499
947 702 657
133 678 636
81 63 212
575 435 726
581 495 381
642 460 241
698 57 498
493 887 348
640 204 816
543 722 455
84 684 620
805 519 657
186 226 928
763 108 629
561 493 376
536 624 175
187 719 228
261 142 670
603 708 743
38 469 367
950 277 849
541 93 507
128 246 114
679 958 192
442 418 979
580 923 692
52 760 115
478 789 962
111 530 900
208 176 999
44 492 174
644 692 18
593 654 691
891 390 77
614 850 847
654 337 265
318 160 376
648 134 930
495 277 924
383 841 209
928 567 614
110 41 250
948 264 844
894 584 455
52 136 579
818 906 469
790 687 745
802 162 604
119 608 486
603 755 216
901 616 590
427 955 38
540 124 337
584 691 298
201 47 886
487 327 477
522 60 850
512 416 743
848 1632
425 358 510
17 447 834
772 692 811
842 802 504
310 417 488
58 350 859
2 265 642
173 703 360
491 244 547
266 622 266
506 12 555
837 23 828
344 105 908
299 808 773
776 605 778
720 385 325
431 514 769
642 710 569
72 151 753
322 70 397
320 747 195
186 299 404
842 261 244
124 198 610
384 96 248
657 639 821
766 634 394
18 804 183
826 793 564
77 39 60
160 778 486
516 802 942
408 134 407
552 725 385
369 842 76
792 405 725
602 375 888
283 739 252
490 137 568
390 297 367
390 396 119
245 233 42
576 35 336
166 35 988
779 442 957
693 170 354
464 223 30
809 548 404
821 576 662
367 323 706
191 243 656
345 518 278
423 804 260
730 844 390
353 6 465
200 691 891
318 219 223
150 67 950
466 372 860
554 794 744
446 337 458
588 45 351
568 805 176
288 309 567
108 545 763
671 350 27
330 6 633
722 721 352
398 320 155
284 468 434
708 435 90
493 169 227
91 197 612
296 384 681
343 180 656
146 199 807
691 80 230
309 45 365
583 660 129
329 202 591
242 651 210
797 579 96
322 515 399
684 177 861
390 608 434
43 292 910
630 166 182
408 629 832
788 120 572
32 364 562
288 591 217
197 427 63
95 20 114
343 490 446
41 333 274
537 241 311
738 215 869
518 594 23
433 35 937
224 737 605
17 593 173
140 105 538
449 43 286
106 738 288
61 131 703
504 53 439
112 493 325
274 596 196
691 537 787
547 446 725
502 34 802
222 440 962
21 364 176
99 488 995
13 522 680
304 484 674
373 137 866
81 848 439
736 469 983
575 268 767
28 159 510
49 60 92
498 639 712
769 258 382
148 644 987
307 253 684
419 322 569
504 398 905
5 736 397
381 247 224
375 395 729
838 33 583
783 678 406
432 395 849
114 712 746
412 454 399
488 349 145
696 449 16
685 810 953
185 8 46
642 766 179
643 514 853
336 68 216
556 83 924
226 58 861
357 80 14
777 817 894
309 493 992
728 812 875
600 522 423
513 299 752
168 677 754
782 383 791
533 638 820
821 690 492
404 272 528
641 247 43
171 17 832
183 414 928
518 689 579
410 610 141
481 259 116
732 156 246
356 517 736
561 346 423
379 820 98
186 737 293
616 719 634
423 348 618
241 544 391
848 520 868
210 446 856
632 557 914
471 228 478
693 56 926
484 809 388
648 805 312
758 710 122
179 566 457
164 815 311
126 649 926
747 15 53
573 817 622
765 18 762
578 599 480
610 443 9
304 666 678
703 75 542
725 837 361
512 77 531
841 831 238
100 522 416
376 207 190
318 288 271
290 585 458
654 77 70
678 435 19
599 444 930
745 569 894
572 543 238
486 753 320
770 559 353
835 609 672
254 61 396
435 644 778
359 142 257
143 675 970
350 635 278
423 45 254
6 120 247
130 782 205
84 766 796
477 308 369
508 519 531
2 775 5
274 184 165
759 233 148
238 191 402
807 97 72
738 794 248
491 775 698
203 672 393
287 714 470
778 272 186
143 392 151
698 485 387
633 723 274
137 299 208
129 352 273
724 438 550
804 492 760
334 338 530
62 155 28
227 303 237
214 125 849
720 435 842
695 429 73
228 692 434
560 660 331
301 168 147
198 654 562
476 173 592
38 704 780
252 484 719
617 576 50
591 151 166
703 765 20
540 134 157
86 460 796
594 622 351
118 394 490
669 820 780
538 263 941
784 243 176
836 120 507
327 17 642
562 626 343
658 825 823
506 511 387
386 542 764
477 175 601
515 703 116
96 302 287
355 143 431
786 661 500
468 221 873
469 357 204
198 47 806
714 175 88
752 74 445
653 837 274
6 836 900
510 116 811
136 186 449
11 76 427
59 844 352
444 192 225
349 8 883
813 735 672
31 444 414
751 820 436
741 519 965
505 452 251
250 380 955
189 278 449
154 64 251
65 471 942
500 531 725
30 691 200
636 549 621
612 261 578
624 543 198
258 205 652
591 105 632
349 723 966
95 285 467
370 201 93
625 79 394
129 625 200
845 197 337
285 234 859
3 367 357
530 295 698
116 228 252
71 452 519
321 352 39
265 596 468
291 426 954
816 778 763
763 2 300
697 287 193
426 309 396
603 50 624
445 642 49
299 457 31
102 790 241
347 596 88
812 303 362
544 32 709
522 285 954
627 398 777
612 170 17
563 112 911
593 123 457
8 769 735
230 620 144
703 674 945
341 349 648
553 293 701
529 35 456
161 437 449
171 695 254
677 304 662
338 368 801
815 68 470
355 735 909
36 817 462
283 648 468
312 815 920
304 793 749
79 196 571
687 179 432
61 643 822
384 382 547
172 737 686
36 688 867
565 636 213
476 734 236
465 510 624
469 8 685
149 211 994
158 517 958
661 44 597
365 659 189
646 180 241
275 384 541
182 286 711
423 162 729
369 333 374
371 487 269
198 167 586
734 436 663
692 378 974
447 347 537
450 274 942
584 567 778
650 80 723
142 435 564
830 410 551
189 133 631
409 449 514
557 152 48
237 818 129
283 609 398
324 246 377
767 580 918
590 611 839
725 327 973
263 248 170
585 151 437
693 255 600
167 158 195
722 647 657
745 687 647
423 293 209
390 590 532
31 321 265
322 441 455
515 702 881
471 498 482
42 461 955
526 421 707
104 525 666
235 836 91
105 552 171
647 685 52
263 554 536
138 154 104
88 531 901
219 274 409
838 832 963
134 122 846
371 105 593
129 241 697
172 596 496
428 599 505
590 587 785
103 129 92
738 757 147
825 237 323
461 480 123
810 397 454
392 641 735
597 205 788
103 307 761
745 598 573
314 133 887
276 541 757
39 694 248
607 482 90
618 188 554
85 349 707
199 227 85
724 823 639
231 130 346
234 607 776
334 509 592
609 254 567
7 458 925
386 120 869
810 432 848
478 693 305
493 63 853
689 668 77
8 25 952
212 314 734
718 284 88
597 746 970
10 379 355
692 428 865
383 643 306
715 103 966
198 35 81
493 118 550
616 468 95
284 246 385
407 540 205
249 341 894
579 199 236
501 724 310
42 6 10
563 796 591
722 94 94
680 299 899
189 283 163
469 449 272
173 714 472
559 594 629
337 425 555
690 670 31
298 803 843
578 531 830
538 285 111
156 740 753
116 564 15
719 202 884
829 433 290
809 592 354
566 47 453
495 754 910
280 746 198
88 31 163
568 779 158
635 432 321
701 292 205
781 531 771
328 528 704
476 408 761
544 613 308
820 577 171
77 795 676
515 697 792
747 420 199
499 46 476
396 82 364
121 590 298
361 248 365
455 773 84
711 583 518
62 347 862
183 723 411
90 212 684
189 525 176
843 443 851
172 665 621
347 87 426
457 290 844
638 837 23
652 327 828
454 70 215
500 788 125
788 419 884
646 373 125
456 842 516
822 334 601
300 513 436
145 725 224
180 270 981
502 60 197
346 80 690
196 308 1
152 459 63
352 511 992
726 138 950
669 122 195
647 696 232
437 183 581
385 228 72
251 491 582
491 221 850
417 430 566
481 696 818
160 366 946
396 140 60
419 374 800
37 339 354
329 761 122
363 456 521
160 335 797
295 624 845
91 732 996
605 64 587
30 532 268
357 120 177
801 464 639
814 353 55
755 299 462
116 725 46
400 448 776
294 68 953
31 605 180
283 129 173
575 608 59
387 264 723
196 451 817
131 220 89
248 25 679
41 619 666
79 787 540
743 3 18
634 368 779
263 837 219
105 820 130
310 309 592
277 97 612
371 834 278
784 138 506
717 262 833
396 39 381
403 526 838
639 535 926
750 273 420
402 25 884
517 281 570
840 25 88
587 548 567
