926 955
662 559 -111
297 652 210
285 562 -641
257 259 -20
783 673 -179
86 503 -76
456 376 -534
88 874 909
826 836 989
377 391 -506
399 359 -131
815 213 700
795 440 218
806 577 -68
5 144 882
457 524 -161
609 193 43
514 558 917
495 815 270
190 536 -27
376 94 -43
83 434 420
263 835 805
264 791 -337
402 302 353
445 795 -128
809 459 957
648 666 -504
662 877 736
567 812 -451
440 860 802
365 657 266
607 242 243
550 167 173
744 504 108
421 825 699
614 140 -367
661 533 675
134 223 787
196 191 422
311 710 160
614 40 592
773 307 851
633 64 549
801 254 314
2 766 -505
86 421 -719
814 638 -170
274 380 357
56 146 -630
551 18 572
583 787 -915
265 379 -862
320 17 274
797 151 -943
293 201 -14
385 29 403
187 468 33
557 580 -695
794 743 253
534 591 -602
925 704 254
654 362 -800
922 631 -31
208 32 -339
389 627 299
925 248 -131
500 677 -714
658 203 -111
842 239 -150
892 533 957
518 851 -386
910 669 -879
142 286 -195
446 309 763
152 684 -215
217 832 146
120 478 -441
61 659 325
520 500 -473
64 538 -534
434 610 13
96 610 -719
297 920 145
795 36 869
66 586 -272
379 471 -34
168 49 -506
652 878 812
617 798 -424
510 346 -288
501 851 38
82 646 955
648 288 -775
339 398 -242
710 233 869
525 649 -858
113 255 -446
493 571 -898
668 465 -265
425 558 59
735 622 342
169 361 600
615 728 117
463 482 -978
660 518 446
802 779 28
566 420 790
881 198 -82
533 8 366
921 274 895
99 886 -230
733 794 311
403 162 -732
580 375 -888
742 455 -344
118 807 46
654 750 977
651 599 531
738 516 475
142 811 292
694 731 -767
297 157 292
755 663 -643
385 845 993
144 553 267
388 207 819
923 152 391
733 147 181
606 300 289
898 764 -339
493 167 -796
264 202 641
375 231 308
752 844 -655
666 747 594
123 114 879
620 739 -348
754 802 -525
92 635 -439
180 369 -922
837 865 156
348 52 480
925 227 -27
436 414 -100
580 457 789
344 484 -951
814 591 -851
656 536 834
832 438 -490
621 854 -374
769 115 366
42 847 928
271 106 -998
862 921 198
681 825 -200
158 189 810
711 855 283
752 764 714
673 486 -621
232 195 476
150 109 -902
155 368 -713
195 760 284
258 558 93
84 871 338
21 877 341
262 786 -842
926 518 524
609 402 526
583 453 -941
700 357 -294
273 180 -409
754 470 -249
236 717 935
722 508 420
542 869 -534
484 469 51
659 534 281
89 244 -240
175 218 675
847 417 23
832 598 -188
516 829 591
652 859 371
770 795 -489
864 378 -999
772 236 -760
849 887 797
128 125 271
185 807 529
917 7 -234
882 815 688
599 400 -647
362 691 471
843 370 -352
365 7 -298
4 753 -708
627 508 826
743 292 357
484 856 166
856 476 581
827 263 -146
296 195 -628
128 522 16
390 779 -639
882 111 921
700 558 621
530 417 -83
322 88 -129
312 235 140
344 499 -118
850 46 -992
26 79 -274
229 825 48
555 426 523
365 722 -814
106 89 -357
526 735 671
861 184 723
524 244 853
57 574 -834
841 370 96
350 465 85
137 397 449
694 772 -751
718 262 -702
573 872 -738
845 300 -583
376 187 -227
732 547 874
150 261 -702
425 797 -870
150 339 -114
869 274 457
892 687 -509
92 469 714
111 491 -604
317 397 182
803 735 645
73 11 -53
668 174 -24
787 547 508
48 674 -106
6 526 -491
586 189 122
627 524 -677
382 660 -567
330 914 845
294 367 715
163 15 -427
678 454 -737
631 545 334
391 805 -219
8 482 422
899 905 441
847 65 -737
809 712 -599
727 643 743
481 900 246
296 251 677
110 740 -872
26 664 -823
754 922 -188
918 824 -494
905 891 957
378 261 -973
759 156 -488
208 681 -177
281 499 825
181 361 352
176 586 -267
458 621 955
914 526 957
361 539 -978
323 239 -291
424 514 -130
320 140 -307
305 846 440
355 625 -820
439 905 -478
442 215 -225
672 530 -51
731 839 -666
485 771 -76
8 393 -282
432 806 -66
326 287 117
466 225 -491
421 718 -261
183 779 -73
27 698 -277
610 155 172
814 532 966
221 568 267
441 289 -987
914 367 -868
763 597 -392
543 461 -410
358 130 -792
291 349 345
880 288 -194
307 589 -200
371 886 -196
855 90 508
429 55 -628
566 343 -517
261 904 -558
522 441 717
686 710 277
397 109 -452
139 610 -673
489 806 -578
452 500 -604
878 123 -71
411 392 -1000
695 644 -837
721 437 -501
258 449 506
658 393 -835
69 510 -54
749 146 21
445 468 -175
219 394 -393
861 31 501
496 812 -517
326 73 -604
83 681 323
304 319 659
576 388 -839
245 849 -646
590 827 -874
233 330 -444
170 608 -826
845 890 -432
838 100 677
687 126 764
426 7 173
826 662 589
786 391 397
886 433 246
565 572 767
905 447 -294
145 586 950
620 152 380
391 763 72
826 633 602
89 624 969
42 257 -540
859 517 -510
915 279 -218
615 577 -120
73 414 -295
781 433 -67
113 16 -109
856 861 952
590 845 -606
277 156 372
258 682 18
639 155 -507
863 171 -400
143 692 -149
625 133 -998
258 538 306
888 133 -821
335 616 -118
272 374 601
255 208 615
365 537 -129
780 101 -113
871 887 823
137 313 -964
807 689 378
165 426 -787
363 417 -961
688 25 -540
153 843 -420
441 386 494
212 7 -409
831 666 -942
470 241 -727
331 402 604
791 160 714
522 918 -117
645 744 -18
778 708 -106
422 139 270
638 292 -960
273 211 -636
92 780 -891
557 365 143
173 533 -992
482 357 330
809 292 1
732 715 908
76 158 121
718 547 -634
338 852 -259
342 887 -265
68 713 970
699 206 354
524 559 -325
416 375 521
736 164 -91
58 346 414
3 801 179
359 759 -893
109 448 856
524 268 -453
630 138 -3
925 635 -118
813 763 275
853 540 893
398 511 -794
449 883 -81
727 649 39
547 654 759
47 336 181
266 234 501
744 87 -305
401 215 575
1 402 841
20 799 -366
203 234 -999
795 211 431
633 210 765
380 437 810
624 76 -337
164 666 -898
650 872 220
50 691 404
512 232 -912
859 394 -577
572 2 57
636 835 -436
112 356 -21
446 254 -995
364 665 -152
454 511 903
485 480 -52
691 389 -456
632 529 70
317 310 -545
668 208 -864
651 805 -547
304 729 -343
773 159 16
185 181 959
920 235 617
459 190 326
647 818 -454
768 216 -723
206 357 -53
88 38 117
742 163 518
557 103 66
225 1 -252
304 628 729
105 344 -675
817 737 375
887 726 479
596 561 359
475 389 -396
83 132 818
164 825 148
661 690 -441
526 96 295
742 915 -381
383 684 -929
876 113 985
136 767 98
866 8 891
849 468 305
654 466 -301
37 352 260
271 924 856
268 351 -372
288 399 579
313 131 172
619 888 673
416 620 -101
478 113 -627
695 428 -890
539 350 75
380 139 479
627 247 -206
873 409 -841
254 499 661
832 791 932
241 779 897
324 109 -473
155 638 -65
832 564 -453
322 891 -401
746 876 -873
701 525 -103
133 284 709
743 78 -844
411 486 666
687 721 376
472 914 -607
674 28 -618
294 572 -631
586 697 735
571 141 472
414 211 149
770 133 451
419 159 -925
135 626 -437
177 667 35
160 450 960
23 410 380
343 544 -497
768 136 -673
141 320 -445
143 234 -169
609 538 -57
2 757 687
83 707 -354
36 629 533
442 19 -405
232 256 -286
367 909 572
349 92 -123
36 522 531
237 292 767
203 675 929
573 591 898
828 297 176
455 526 57
4 748 -395
497 624 154
327 638 -731
286 163 -306
739 438 -475
709 923 826
455 699 755
186 790 43
722 736 -344
114 335 98
616 580 -314
306 516 389
442 463 -511
143 659 525
27 289 292
656 259 828
279 513 534
641 469 566
785 793 -908
899 545 -692
824 88 -787
208 896 436
73 821 -326
834 514 578
668 752 123
618 904 42
113 150 873
369 109 159
362 115 -232
423 714 -16
626 276 381
854 917 -153
290 181 74
736 848 592
375 313 813
514 727 -583
852 471 675
665 644 -489
15 404 75
659 863 -177
737 831 -461
896 170 8
361 165 223
653 439 -730
114 408 -431
158 146 98
345 437 -960
302 673 376
457 650 302
547 519 145
776 117 -266
433 825 431
431 97 159
567 239 171
70 407 -375
864 407 -484
889 223 2
786 654 360
613 484 -783
771 893 87
346 590 337
814 619 -283
568 188 -800
138 658 -310
115 77 248
125 86 57
293 487 652
360 35 -721
258 598 334
209 139 890
527 65 416
896 284 706
265 448 877
590 805 811
764 263 280
221 150 -200
740 179 249
158 275 -973
340 787 279
171 311 522
924 926 527
526 72 -804
478 454 594
49 65 451
716 172 -999
651 440 493
