981 2921
892 673 450
128 295 722
482 289 292
715 699 366
492 669 756
720 425 155
338 491 216
191 372 35
706 701 936
932 675 222
676 387 155
9 243 187
852 296 688
168 382 84
193 111 877
410 162 45
516 101 917
226 569 796
745 763 639
254 764 203
800 635 454
719 497 337
567 724 271
342 334 918
785 309 444
239 355 442
227 329 730
637 492 149
825 664 454
499 32 513
46 253 785
251 584 29
674 229 830
182 95 639
756 427 521
710 174 383
342 470 504
118 429 951
14 832 936
552 175 202
583 205 700
641 905 117
78 228 391
703 800 302
848 494 704
615 313 338
325 468 888
514 529 111
469 198 72
604 357 192
921 351 456
103 528 362
941 946 636
535 192 865
781 868 888
454 46 522
248 28 37
207 975 581
140 27 64
947 211 608
735 118 362
282 886 866
967 348 283
43 909 570
739 425 192
902 808 372
254 944 637
442 216 215
165 21 448
885 802 834
755 529 699
956 57 740
541 265 187
578 169 755
862 278 32
320 811 531
138 568 178
609 734 994
572 177 209
187 738 591
393 129 482
707 843 531
406 510 448
970 923 892
924 104 772
589 345 624
166 357 61
493 275 945
866 817 982
188 947 865
955 736 254
533 286 220
887 539 750
61 829 867
830 80 743
234 779 193
322 927 900
957 268 233
945 45 911
970 233 844
45 587 752
256 374 999
490 665 586
543 140 241
149 96 913
811 152 974
42 663 764
239 77 806
896 106 106
791 136 273
747 540 474
730 828 98
769 314 390
363 790 931
828 581 371
836 801 3
252 253 484
348 892 108
360 334 544
65 380 354
597 880 559
781 219 719
150 25 313
841 310 914
16 422 537
961 590 127
416 961 410
409 847 395
20 677 993
758 920 220
435 288 313
874 960 640
70 122 723
298 930 240
297 132 12
344 526 444
267 867 555
189 790 49
111 856 466
150 926 246
796 288 514
650 621 252
614 64 333
344 830 224
330 746 834
93 918 831
666 761 32
542 268 1000
555 515 693
966 208 682
834 826 680
207 793 210
426 230 367
331 53 983
453 256 229
364 114 519
110 743 643
405 535 620
547 18 819
186 52 266
703 819 915
708 323 781
46 447 92
153 852 791
657 856 621
597 641 152
536 692 920
185 557 687
493 664 97
554 201 576
448 450 805
840 681 135
128 364 326
913 470 614
564 266 153
660 546 437
918 453 976
97 171 828
223 256 394
227 758 34
286 543 855
576 335 20
928 768 479
621 945 158
582 843 959
656 391 430
653 4 29
733 607 177
912 340 538
28 588 119
423 855 278
258 910 603
660 23 73
245 139 779
805 970 633
505 747 908
589 752 133
554 33 331
884 269 773
424 98 214
185 946 468
437 687 490
745 328 210
756 849 505
161 735 893
247 798 700
256 13 45
745 624 168
590 674 116
442 240 999
973 40 295
91 73 695
506 387 562
463 645 594
264 454 686
189 848 332
23 252 978
271 932 320
683 808 181
933 208 474
443 592 992
454 459 223
436 514 590
258 271 80
631 389 387
410 840 188
475 51 913
390 95 50
539 967 713
206 890 855
531 470 357
403 491 573
681 100 957
19 978 853
811 785 619
106 669 443
187 751 488
309 273 912
453 145 263
616 572 491
142 501 504
873 855 415
603 38 516
114 244 584
402 869 354
9 760 325
51 219 489
5 252 340
106 953 298
838 151 544
654 154 916
475 638 679
158 502 124
63 186 611
497 41 867
907 73 143
439 339 472
370 79 44
525 333 834
628 838 910
930 51 890
519 850 275
926 35 676
633 1 177
292 783 751
621 570 990
516 578 418
225 201 957
926 284 478
715 652 370
321 893 353
517 396 714
145 12 178
764 547 426
449 755 5
587 578 58
664 874 901
655 953 797
311 793 395
609 573 446
447 250 55
529 808 999
345 87 684
386 593 218
26 169 277
245 703 192
225 93 525
600 507 519
909 198 332
83 181 978
718 826 16
77 634 241
263 315 166
924 216 973
648 122 653
240 158 631
678 172 784
883 726 901
256 613 998
898 971 162
561 628 374
802 940 974
631 421 929
521 303 411
154 246 13
121 651 649
602 952 203
512 233 104
522 711 693
605 772 362
670 978 648
348 252 641
40 237 975
40 622 901
277 99 620
25 341 435
174 298 787
1 231 544
677 69 612
680 372 402
953 61 564
475 477 598
353 30 199
91 344 538
803 131 41
306 31 253
857 838 721
790 479 773
618 592 269
227 392 764
232 795 726
261 529 847
952 807 400
17 504 292
619 225 298
286 824 707
207 679 465
733 827 685
95 978 199
840 371 650
822 572 867
864 739 359
442 444 93
203 813 673
791 551 352
16 630 488
841 700 530
805 18 759
470 791 758
879 183 649
289 220 701
117 157 108
687 483 809
637 783 124
201 523 474
152 872 59
78 279 160
408 484 46
469 896 447
274 461 469
190 802 643
282 284 50
232 17 913
719 275 714
298 629 335
267 780 835
701 94 862
640 265 979
940 232 892
548 460 668
30 656 344
445 696 323
315 251 907
718 304 634
668 701 459
208 357 306
255 126 79
653 848 669
658 71 570
846 58 839
771 129 565
743 936 325
436 507 197
800 930 593
664 224 842
249 121 555
288 81 177
321 454 204
260 827 484
150 260 332
971 191 477
959 141 369
259 465 907
964 351 499
806 672 814
133 3 998
389 325 573
711 47 192
265 23 818
225 936 660
154 596 60
463 196 511
90 665 812
704 778 175
653 980 2
203 299 631
96 858 289
965 571 32
579 180 253
34 256 10
951 682 344
425 281 901
495 211 566
938 818 793
352 45 156
591 626 18
139 822 604
938 865 694
337 269 937
738 224 587
706 950 586
446 466 125
429 473 597
533 358 908
953 662 261
288 23 424
915 676 896
470 187 171
59 508 564
51 694 430
162 4 208
717 129 488
726 504 669
215 505 114
964 622 145
289 378 943
792 277 710
515 690 738
61 228 790
935 424 256
784 678 86
367 547 688
69 759 553
412 612 586
449 53 217
289 37 291
318 640 980
381 884 304
159 743 880
620 542 313
631 128 892
593 427 726
119 408 56
228 367 443
195 348 680
15 630 681
796 680 948
313 472 435
779 842 970
565 422 116
902 670 353
771 745 685
294 906 721
963 242 183
288 293 320
671 513 386
581 505 329
301 190 201
475 894 150
957 155 477
593 490 437
964 140 853
418 562 290
692 529 33
486 691 100
763 913 390
881 259 185
94 315 261
316 901 93
113 269 597
724 855 289
487 727 751
596 268 140
630 655 966
758 815 945
853 800 136
970 53 810
958 122 748
290 966 17
38 286 376
699 198 348
108 781 431
263 506 360
850 674 167
452 469 171
723 665 501
39 953 755
230 623 723
103 181 914
829 129 151
673 818 256
360 274 442
604 648 369
337 862 22
880 312 16
497 92 882
425 712 319
439 906 908
956 703 985
977 544 896
449 239 499
633 296 868
761 817 858
220 482 91
39 272 862
125 52 397
573 294 582
18 658 88
287 142 642
883 573 989
427 198 931
882 55 252
615 457 760
825 250 12
148 449 224
201 396 722
653 950 18
334 235 761
417 425 532
317 139 721
660 377 476
718 244 610
426 647 638
588 702 132
567 640 273
945 218 506
715 458 892
578 339 323
232 332 625
973 664 177
501 508 692
531 276 433
352 406 631
306 436 596
869 231 260
153 428 784
24 333 879
888 467 442
323 398 865
308 6 791
735 347 959
570 65 239
197 649 138
383 177 575
33 651 245
691 443 310
483 806 147
359 760 995
437 316 356
898 234 335
332 23 539
56 72 317
952 528 161
768 563 338
939 885 480
110 38 302
924 164 188
86 824 899
769 522 692
367 970 625
689 496 452
718 833 94
63 812 562
328 158 469
434 416 457
202 384 695
353 149 135
532 20 839
588 248 860
657 646 42
634 369 187
108 654 746
497 632 398
695 463 939
344 542 452
756 222 851
175 399 645
787 943 732
814 55 450
673 233 922
517 424 123
492 292 687
408 410 973
643 665 128
365 727 985
839 151 156
2 662 776
728 28 150
527 283 692
84 166 301
573 873 249
305 293 183
884 495 363
379 260 148
533 504 266
15 830 753
835 135 439
231 150 275
931 887 274
245 880 803
61 325 543
572 280 625
736 356 686
726 185 878
339 210 65
87 590 820
761 639 774
916 582 693
426 714 118
73 886 12
973 1 816
364 868 994
93 675 459
741 436 167
136 96 947
77 896 700
34 212 894
481 976 512
769 333 148
324 783 434
321 148 712
192 82 956
676 381 616
238 367 499
494 805 392
423 248 449
886 320 597
697 718 671
407 278 720
878 464 606
759 925 681
934 145 193
855 411 747
75 267 306
303 623 77
590 246 193
976 6 884
459 851 661
434 100 193
38 311 483
159 126 524
810 654 42
718 646 28
291 497 824
584 356 429
222 399 841
329 834 586
14 93 303
755 478 712
679 957 146
434 596 333
186 824 24
54 123 400
195 324 118
155 16 223
832 317 494
969 357 125
895 250 455
351 485 783
571 191 948
660 282 189
184 202 322
594 312 482
257 758 13
536 860 502
21 260 428
792 77 816
362 840 412
628 889 577
180 888 943
659 803 881
224 62 512
580 276 321
840 765 751
28 883 19
473 580 930
763 186 987
941 352 34
158 615 39
175 949 943
682 259 854
210 315 788
914 775 283
723 355 400
411 498 530
960 61 171
890 241 457
313 278 519
259 310 780
215 549 390
274 909 925
78 439 498
50 687 877
275 476 518
804 584 953
739 207 644
577 169 721
777 57 686
430 863 144
423 603 550
631 30 740
152 215 854
597 668 212
260 215 990
518 91 394
746 343 678
217 539 42
526 169 375
688 641 122
763 52 748
759 662 310
89 372 360
192 981 264
388 84 398
264 669 103
825 88 383
795 776 352
750 158 548
570 876 712
248 220 669
407 920 10
2 37 134
466 645 594
929 162 567
148 764 531
232 509 300
334 33 7
23 860 945
37 40 422
351 229 91
861 729 197
588 869 127
52 672 797
737 972 499
375 845 211
879 609 326
882 405 612
944 266 808
389 279 268
609 673 413
127 924 49
521 551 287
103 194 960
206 202 387
787 286 549
917 285 828
53 388 36
369 275 531
723 749 617
807 727 668
764 910 955
453 360 86
841 630 64
822 209 653
750 89 820
785 687 47
710 763 403
425 130 493
55 847 661
678 277 131
392 192 101
557 933 158
109 40 648
433 674 173
568 484 847
775 566 905
10 200 404
735 190 285
272 453 93
328 847 913
155 465 529
607 243 391
954 197 539
846 727 115
768 881 365
18 651 728
483 470 240
628 683 682
680 597 575
498 289 713
136 869 90
212 458 766
974 956 157
932 58 720
280 582 104
768 294 131
274 325 697
717 86 342
375 787 456
294 260 199
673 737 56
761 801 297
282 371 395
215 903 625
551 955 193
915 203 530
951 73 874
521 547 805
980 791 627
219 708 810
18 86 505
462 639 361
55 401 723
807 638 788
528 535 67
950 673 913
362 144 780
932 150 278
912 134 243
16 809 26
795 815 733
797 738 913
252 647 158
197 307 644
917 801 446
548 948 68
869 458 942
900 222 160
556 677 271
891 812 170
134 692 552
525 375 685
363 204 402
768 796 952
860 879 82
967 740 52
241 397 109
757 192 951
599 846 948
227 908 760
277 675 579
172 894 655
612 777 591
936 622 375
505 2 886
407 951 865
840 737 640
95 236 20
578 630 232
787 524 520
229 263 916
171 435 635
908 313 904
1 657 243
612 3 55
696 790 246
146 218 901
811 568 948
275 706 411
759 505 291
159 418 437
496 319 72
624 694 224
716 161 402
666 338 337
143 940 888
84 87 469
640 679 333
233 37 989
83 455 698
840 40 385
685 33 121
845 74 559
519 399 212
273 66 708
833 119 776
681 262 350
661 365 495
300 924 505
497 121 885
168 328 437
273 972 934
412 218 786
347 933 967
576 846 596
843 145 266
476 480 176
552 631 212
696 812 621
609 407 130
325 193 933
390 240 849
396 952 157
152 388 942
946 912 885
167 232 143
832 242 912
927 8 171
971 945 969
652 470 684
631 247 152
453 189 625
864 631 440
164 226 751
890 626 365
941 197 904
20 439 122
501 35 70
975 537 457
650 924 992
222 591 658
266 224 137
847 735 673
316 967 876
689 942 489
266 871 420
833 702 863
457 181 219
797 749 928
789 478 166
98 252 71
803 430 197
762 450 81
163 687 536
477 501 273
968 719 747
764 398 176
524 404 24
704 28 37
772 37 921
835 8 733
320 896 781
360 484 853
864 834 738
51 586 744
839 87 494
28 141 190
104 637 345
327 88 743
235 964 499
551 8 702
817 958 359
704 499 714
313 263 249
976 145 87
190 902 990
490 882 298
609 313 934
629 570 15
250 705 908
761 971 165
847 315 602
915 294 115
114 930 883
864 88 112
461 32 808
94 739 441
716 166 663
609 23 983
100 290 489
49 725 140
611 583 104
426 740 797
82 473 711
469 324 136
760 491 69
90 61 526
589 444 667
839 909 680
224 261 552
363 324 767
959 180 63
138 970 913
370 254 167
185 591 352
738 269 923
469 230 432
368 246 330
901 325 89
647 780 512
616 355 905
449 809 545
224 828 82
551 21 799
43 70 728
300 164 739
897 605 222
366 398 18
705 143 292
950 530 980
15 542 459
736 428 427
386 714 248
444 703 10
78 553 810
558 431 955
927 435 800
373 232 150
888 181 329
237 23 371
79 915 902
621 499 670
503 202 522
899 38 519
425 918 492
899 48 505
22 762 261
237 920 626
857 457 514
197 947 729
74 341 604
216 96 521
716 242 182
378 792 911
952 315 602
371 462 299
780 492 110
248 825 133
226 805 222
491 818 168
514 851 940
863 273 246
258 834 538
608 131 258
389 879 479
148 786 685
816 151 697
141 225 51
318 166 438
562 95 284
89 682 91
250 13 549
726 17 892
670 529 374
690 902 535
774 307 312
378 330 234
893 353 567
434 60 432
757 631 839
646 719 399
734 624 247
334 260 61
313 415 654
329 173 83
380 791 415
75 857 931
19 202 210
436 407 692
497 731 162
16 339 414
719 172 554
954 208 421
162 357 671
78 120 360
316 557 945
460 181 819
642 458 663
352 944 736
832 873 316
826 938 705
106 529 137
955 398 160
403 401 306
887 635 528
785 667 966
949 498 996
303 907 919
189 80 467
942 317 186
483 783 527
33 700 726
778 540 70
123 64 866
683 126 679
579 848 84
754 405 488
362 54 463
145 946 207
115 287 803
592 935 498
542 550 80
690 825 892
925 971 493
507 151 725
432 774 729
809 728 15
921 188 151
200 211 706
810 771 487
200 447 367
494 907 469
30 113 598
659 355 486
40 899 39
818 826 626
190 584 529
291 180 699
709 653 783
576 756 767
789 759 436
196 804 271
950 165 161
939 491 76
743 929 203
199 237 437
619 549 42
666 85 697
639 104 664
151 696 175
504 1 201
233 551 691
282 742 680
836 883 21
294 220 868
196 925 144
612 726 14
2 479 699
320 266 643
962 773 461
513 198 264
101 32 378
677 483 41
480 908 971
779 781 193
505 113 6
595 499 37
305 645 799
423 83 170
643 139 172
705 743 369
408 161 849
942 58 680
726 847 735
705 231 375
670 749 148
287 963 776
754 817 506
180 938 800
300 942 947
652 263 746
289 135 638
865 665 61
754 303 641
953 479 151
153 367 372
482 276 756
18 770 352
631 525 717
578 901 152
207 75 301
98 246 694
784 574 645
956 10 334
11 4 894
738 716 120
8 364 540
139 890 243
612 350 97
208 974 903
404 954 989
533 372 627
345 540 401
862 893 680
684 43 258
510 487 990
600 45 936
182 919 496
18 440 38
568 113 778
853 838 589
783 911 955
638 753 523
593 127 692
229 517 639
565 177 688
668 32 791
515 614 491
671 317 764
823 356 876
286 859 947
70 830 234
727 236 965
341 837 503
975 252 503
745 457 916
483 724 774
349 838 913
515 135 613
282 205 116
930 172 525
425 570 649
232 219 316
953 486 297
655 334 408
955 950 130
719 278 531
876 952 919
679 321 208
856 631 692
661 530 184
231 816 339
705 530 263
48 392 728
635 675 103
891 844 216
125 391 550
824 914 905
346 853 833
861 199 183
556 125 404
700 371 327
543 150 722
125 460 321
749 742 809
232 290 233
458 300 534
283 506 28
800 867 22
303 515 854
410 321 126
698 758 201
748 246 916
805 819 744
883 462 724
220 104 484
510 570 114
33 465 85
492 255 820
686 893 702
138 115 421
289 273 356
746 341 288
314 519 359
71 638 643
449 916 396
155 85 370
565 174 360
336 908 580
771 939 915
352 978 728
364 226 286
919 289 987
533 702 909
809 296 768
734 970 70
55 847 9
369 491 719
516 117 631
413 746 298
605 64 381
308 260 373
973 141 648
812 710 553
661 844 340
49 526 496
977 576 54
636 106 996
865 769 664
971 21 998
711 303 209
516 779 379
384 585 103
854 305 324
852 300 626
362 829 27
401 398 211
929 810 151
853 576 263
258 120 602
104 126 340
954 809 763
295 976 719
590 204 466
959 545 517
317 624 570
82 358 261
399 663 440
41 21 47
157 958 945
416 286 442
224 197 202
520 501 163
159 706 392
357 742 97
209 522 440
576 627 293
807 478 436
640 300 163
376 553 287
554 509 943
372 378 496
672 811 465
321 760 98
588 266 619
579 457 54
689 85 407
958 75 839
437 140 465
956 725 753
333 951 272
237 799 497
950 860 272
186 218 401
397 899 218
631 949 632
418 526 354
786 487 236
56 727 902
747 313 837
634 755 613
737 172 729
628 649 218
513 427 973
573 264 936
454 735 562
69 535 464
789 969 870
606 214 406
445 270 268
751 766 960
526 528 718
546 356 159
325 91 966
927 382 142
127 111 876
442 867 662
778 266 219
118 957 275
100 506 177
747 197 808
781 138 318
959 616 538
980 909 976
92 872 478
181 149 883
593 158 573
100 836 168
373 413 743
322 980 373
324 174 995
393 916 471
286 176 727
810 323 985
916 661 208
893 160 478
889 109 488
121 575 308
820 728 390
270 427 3
321 465 967
604 568 732
502 321 380
109 780 63
295 192 700
36 668 212
572 415 819
264 186 692
550 683 324
42 411 327
288 771 211
373 320 275
360 557 916
940 272 736
793 113 412
415 62 487
399 703 669
729 271 848
786 483 654
227 961 152
814 404 272
252 611 626
472 334 903
365 317 939
363 214 577
184 957 748
362 850 64
752 967 36
854 908 340
470 372 943
918 943 280
445 57 870
26 55 186
280 926 146
946 161 395
763 664 379
533 450 3
384 120 123
695 659 433
428 730 486
219 646 672
875 899 785
620 601 676
486 977 740
562 425 298
419 563 850
389 962 766
830 284 249
215 146 692
275 467 150
413 913 39
706 824 477
731 403 866
620 295 872
735 535 851
218 580 662
275 336 85
822 347 707
375 422 608
431 274 142
918 698 114
270 226 34
969 22 998
905 129 97
214 815 394
112 576 101
588 56 95
487 648 684
779 676 653
898 671 559
151 189 253
84 708 191
668 258 551
263 173 207
192 946 333
856 804 819
208 776 987
172 600 367
293 605 440
136 708 681
315 642 219
246 167 563
852 760 383
164 288 922
257 374 683
720 690 199
883 234 175
482 925 88
913 669 196
765 336 3
212 359 411
174 965 659
25 656 520
685 276 578
509 879 950
260 290 212
28 8 958
530 132 926
969 774 298
842 339 439
787 203 5
930 836 184
31 55 510
259 902 910
736 473 472
246 732 883
106 931 580
476 753 364
744 122 887
114 242 968
522 154 893
148 619 149
788 704 735
356 425 335
289 874 970
496 12 718
492 477 596
961 812 429
42 969 814
119 965 86
618 634 733
54 77 706
457 436 244
612 192 570
924 923 723
913 637 707
222 313 58
328 753 290
610 560 877
167 648 485
872 448 672
826 85 864
278 923 953
930 825 760
672 408 147
598 32 442
757 358 515
498 684 491
668 513 18
188 969 431
832 440 884
567 62 355
19 705 203
405 607 345
830 285 811
966 956 313
247 367 757
907 106 176
296 356 980
857 586 823
685 591 436
815 290 6
891 594 397
183 255 717
145 314 673
416 753 992
632 850 439
914 650 504
133 957 624
852 538 890
822 564 798
838 568 507
673 61 248
128 674 141
896 895 33
947 347 503
755 542 180
188 252 462
197 227 320
951 460 893
509 404 465
112 528 64
922 546 559
248 794 392
106 669 629
321 571 399
958 952 332
803 31 785
165 793 729
607 866 692
472 165 148
17 866 438
662 477 992
909 265 472
354 270 64
970 465 872
653 745 9
367 268 916
796 387 36
546 33 623
464 445 764
214 701 144
631 801 438
781 100 568
508 446 97
86 142 836
121 367 199
948 353 82
31 805 471
214 318 252
361 550 17
474 368 543
771 255 354
168 337 422
52 264 363
690 795 29
224 334 233
627 119 164
218 608 65
796 514 14
819 764 846
20 428 718
92 7 416
579 420 415
779 310 556
811 667 998
495 792 265
943 495 755
837 630 177
966 257 354
814 785 443
583 664 435
617 712 976
615 945 851
177 308 396
240 940 970
62 263 353
129 23 874
80 417 720
722 360 714
347 487 512
7 786 181
24 904 661
762 944 458
929 196 928
221 711 34
968 113 769
246 693 817
223 597 747
840 53 177
396 635 522
839 977 541
645 586 760
892 24 858
171 791 638
913 862 188
335 535 881
516 817 16
784 374 466
797 147 64
287 417 947
236 840 612
152 71 515
600 470 6
183 807 936
725 492 466
495 512 738
563 767 976
718 485 566
737 613 549
926 571 343
855 691 948
182 240 409
887 394 169
299 711 822
159 404 2
396 172 223
740 663 773
313 741 827
83 34 14
876 946 732
247 693 557
563 805 946
697 630 351
931 233 314
28 942 43
619 264 902
20 638 516
615 447 579
135 836 31
590 450 106
234 301 86
745 83 270
279 632 683
594 809 83
67 611 702
590 672 871
872 768 955
267 620 493
514 714 495
176 662 14
1 667 917
329 276 695
137 294 16
313 441 102
146 822 585
449 112 870
953 258 458
939 167 316
340 422 430
676 762 272
187 892 800
764 913 983
587 399 274
443 349 934
96 469 415
70 507 42
395 572 720
920 873 490
466 340 728
233 305 961
683 713 336
643 41 921
40 319 792
526 464 113
879 60 371
783 781 638
158 361 335
606 36 335
241 501 530
636 197 168
586 198 760
146 679 22
157 624 959
279 83 788
47 844 619
325 674 767
247 526 952
585 77 45
42 661 718
443 542 327
716 915 78
688 918 648
618 414 539
767 660 467
65 818 402
543 368 517
426 630 578
947 510 435
821 380 426
724 711 933
192 467 414
724 840 465
376 18 815
693 370 139
326 852 91
971 570 687
440 898 449
335 199 662
401 457 802
503 712 270
666 226 514
566 744 697
270 878 790
114 307 17
893 954 356
21 802 739
327 122 554
80 607 473
263 717 354
766 24 891
980 748 549
669 76 533
435 853 581
887 124 68
403 257 605
121 538 786
220 30 289
709 192 17
71 278 63
722 319 122
47 660 148
923 704 922
453 522 640
786 585 261
388 559 578
351 295 702
628 730 630
781 210 302
711 296 403
457 235 134
416 692 813
197 235 854
854 772 771
759 479 872
613 795 234
668 296 537
111 735 671
739 445 223
735 968 119
289 614 405
15 478 285
263 592 755
103 403 553
482 717 496
731 713 938
258 361 650
109 954 824
883 410 380
266 316 619
675 932 740
845 227 549
803 966 995
611 6 698
198 191 490
729 507 328
264 42 820
515 492 967
720 614 495
328 760 162
182 834 518
702 548 621
207 475 976
974 6 260
272 143 186
437 365 979
748 550 513
165 590 490
152 885 443
257 542 29
617 761 881
622 190 166
126 317 958
863 292 580
234 321 219
877 866 269
545 611 655
846 899 101
916 121 622
570 822 454
853 241 902
544 701 91
236 399 879
721 622 159
627 553 222
170 286 32
949 945 107
199 103 684
746 623 135
692 903 175
427 765 39
569 462 439
797 865 159
264 842 409
509 449 698
158 853 677
413 673 656
764 53 225
563 429 200
69 431 941
139 67 552
918 239 411
794 69 212
944 844 947
201 750 836
139 762 822
29 211 793
757 533 4
742 509 554
573 380 584
28 339 168
659 652 372
561 864 321
79 133 150
800 410 372
236 940 211
566 93 837
454 378 958
835 305 391
398 723 127
750 104 893
727 425 936
369 418 90
26 522 91
96 779 581
671 846 535
375 659 518
416 599 343
420 660 360
59 902 992
397 579 871
298 711 58
19 866 852
813 846 584
570 974 129
702 722 431
848 238 363
40 583 291
749 836 758
46 879 196
594 437 981
562 542 7
743 134 847
443 260 741
629 276 82
65 612 601
282 277 531
798 692 317
520 706 463
889 670 639
728 308 354
737 356 998
636 111 285
971 867 507
657 661 616
549 408 349
333 859 418
723 376 734
701 826 416
328 301 502
111 622 666
976 255 74
344 326 68
265 778 162
303 74 536
107 754 455
898 346 232
741 224 132
855 187 987
620 657 458
428 618 499
835 291 261
138 380 846
848 208 107
304 422 76
224 21 390
445 385 485
876 525 975
381 29 917
633 89 368
740 590 476
871 861 515
700 584 624
745 57 180
52 192 8
563 978 651
618 44 615
180 752 998
372 485 652
619 235 302
332 939 94
802 287 203
483 406 592
17 438 724
726 318 134
199 941 15
601 874 223
177 844 216
361 838 8
294 482 852
501 294 217
226 474 884
531 116 60
758 169 47
387 428 476
616 833 775
187 856 63
940 718 823
326 831 199
172 584 773
678 132 432
497 813 380
725 53 863
614 187 741
613 615 538
685 360 537
771 233 129
468 892 80
191 727 532
285 451 359
804 786 326
62 290 286
890 288 314
131 246 738
137 196 351
319 578 406
322 798 865
263 679 554
408 924 612
324 219 406
148 245 150
293 307 563
670 578 580
74 94 165
693 875 245
388 233 312
329 232 502
40 962 363
114 7 752
539 961 81
34 165 615
664 286 25
887 38 739
92 848 379
922 726 961
642 25 755
810 216 190
571 769 909
310 449 267
69 541 52
573 816 515
352 704 951
384 898 638
553 176 247
512 682 176
626 468 578
502 544 927
114 132 111
843 970 128
201 596 591
721 398 451
62 424 439
170 961 19
846 435 424
738 790 554
226 519 412
188 661 154
82 488 524
735 587 794
698 47 812
375 611 801
668 612 783
669 528 225
730 370 164
22 954 385
308 425 532
593 535 630
708 460 629
768 720 16
385 278 322
858 139 630
678 119 228
472 537 220
481 103 544
239 355 416
803 694 314
771 90 146
59 332 875
14 69 92
929 191 379
710 11 303
903 72 93
880 570 673
131 289 941
246 757 575
169 344 498
297 785 78
183 829 18
810 81 374
836 125 591
948 169 751
725 280 662
417 905 457
557 52 67
283 718 785
755 322 716
7 573 515
609 849 554
594 974 928
633 485 675
449 884 594
74 508 68
980 485 409
860 153 691
458 529 659
94 895 216
432 733 634
548 187 177
758 359 958
863 283 292
776 7 65
12 18 798
768 494 837
790 184 50
233 918 109
363 421 660
292 9 321
903 980 700
909 775 572
443 262 898
230 457 81
19 230 215
443 829 443
378 972 561
45 585 337
653 716 901
760 342 827
89 180 339
573 472 818
700 104 866
52 787 238
799 504 161
426 75 350
820 572 816
412 550 28
491 95 653
868 94 514
894 687 728
881 259 44
83 294 751
149 695 783
681 954 831
916 864 16
865 689 600
